block,specimen_id,pre_weight,treatment,abd_mass,egg_mass,egg_abd_ratio
1,0.Rf,92.40,0 ppb,9.90,7.03,0.71010101
1,0.Bf,72.06,0 ppb,6.71,7.85,1.169895678
1,0.Gf,82.57,0 ppb,7.64,8.12,1.062827225
1,0.Wf,79.04,0 ppb,9.66,7.15,0.740165631
1,0.RRf,75.42,0 ppb,9.33,4.82,0.516613076
1,0.BBf,75.09,0 ppb,6.74,7.15,1.060830861
1,0.GGf,77.52,0 ppb,7.64,5.41,0.708115183
1,0.WWf,66.95,0 ppb,6.40,5.84,0.9125
1,0.RBf,87.01,0 ppb,7.39,5.30,0.717185386
1,0.RGf,62.10,0 ppb,6.15,4.68,0.76097561
1,0.RWf,81.87,0 ppb,9.79,5.93,0.605720123
1,0.BGf,68.35,0 ppb,9.63,5.43,0.563862928
1,0.BWf,71.81,0 ppb,7.62,5.16,0.677165354
1,0.GWf,58.14,0 ppb,6.04,3.93,0.650662252
1,0.RBGf,75.13,0 ppb,9.25,7.24,0.782702703
2,0.Rf,79.86,0 ppb,6.65,3.69,0.554887218
2,0.Bf,78.58,0 ppb,8.14,3.85,0.472972973
2,0.Gf,62.10,0 ppb,7.55,4.23,0.560264901
2,0.Wf,75.10,0 ppb,8.28,3.63,0.438405797
2,0.RRf,81.21,0 ppb,7.62,4.71,0.618110236
2,15.Rf,85.60,15 ppb,7.84,4.57,0.582908163
2,15.Bf,67.62,15 ppb,8.37,4.26,0.508960573
1,15.Rf,75.44,15 ppb,7.56,6.43,0.850529101
1,15.Bf,72.86,15 ppb,9.36,6.30,0.673076923
1,15.Gf,92.83,15 ppb,10.74,8.89,0.827746741
1,15.Wf,80.04,15 ppb,7.92,9.14,1.154040404
1,15.RRf,80.93,15 ppb,7.63,7.97,1.044560944
1,15.BBf,74.41,15 ppb,7.37,7.23,0.981004071
1,15.GGf,59.83,15 ppb,7.96,6.59,0.827889447
1,15.WWf,79.45,15 ppb,8.58,8.20,0.955710956
1,15.RBf,90.66,15 ppb,9.23,4.25,0.460455038
1,15.RGf,66.92,15 ppb,7.76,7.52,0.969072165
1,15.RWf,76.94,15 ppb,10.49,7.32,0.697807436
1,15.BGf,81.41,15 ppb,8.21,6.43,0.78319123
1,15.BWf,59.44,15 ppb,7.02,5.34,0.760683761
1,15.GWf,59.01,15 ppb,6.42,8.48,1.320872274
1,15.RBGf,75.68,15 ppb,10.35,8.08,0.780676329
2,30.Rf,66.58,30 ppb,5.21,3.77,0.723608445
2,30.Bf,71.89,30 ppb,7.40,3.58,0.483783784
1,30.Rf,69.61,30 ppb,6.73,3.75,0.557206538
1,30.Bf,82.77,30 ppb,9.35,5.48,0.586096257
1,30.Gf,71.35,30 ppb,7.84,4.89,0.62372449
1,30.Wf,83.97,30 ppb,7.01,4.60,0.656205421
1,30.RRf,92.76,30 ppb,10.35,4.03,0.389371981
1,30.BBf,70.43,30 ppb,7.36,4.85,0.658967391
1,30.GGf,71.62,30 ppb,6.65,5.07,0.762406015
1,30.WWf,87.74,30 ppb,9.90,2.75,0.277777778
1,30.RBf,83.80,30 ppb,8.53,4.90,0.574443142
1,30.RGf,70.69,30 ppb,7.94,3.94,0.496221662
1,30.RWf,79.63,30 ppb,7.93,3.16,0.398486759
1,30.BGf,84.91,30 ppb,9.25,3.26,0.352432432
1,30.BWf,76.16,30 ppb,7.82,4.44,0.567774936
1,30.GWf,83.47,30 ppb,7.40,4.23,0.571621622
1,30.RBGf,71.92,30 ppb,7.27,3.15,0.433287483
