specimen_id,treatment,neonic_level,larvae_batch,larvae_mass_day5,larvae_mass_day7,egg_mass,growthrate_day5,growthrate_day7
0-BLACK,Control,0ppb,Early,0.42,0.633333333,0.031,0.521253501,0.205371083
0-RG 6 or 7,Control,0ppb,Early,0.136666667,NA,0.028,0.317068072,NA
0-RG 6 or 7,Control,0ppb,Early,0.36,NA,0.028,0.510779904,NA
0-RG 6 or 7a,Control,0ppb,Early,NA,0.29,0.028,NA,NA
0-RG 6 or 7b,Control,0ppb,Early,NA,0.505,0.028,NA,NA
0-RG1,Control,0ppb,Early,0.395,1.38,0.03,0.515537677,0.625476507
0-RG2,Control,0ppb,Early,0.246666667,1.3,0.03,0.421368103,0.831040823
0-RG3,Control,0ppb,Early,0.2625,0.84,0.03,0.43381074,0.581575405
0-RG4,Control,0ppb,Early,0.5225,1.523333333,0.032,0.558577816,0.535015606
0-RG5,Control,0ppb,Early,0.252,0.315,0.034,0.400613713,0.111571776
LAB-G1,Labeled,30ppb,Early,0.318,0.695,0.032,0.459263096,0.390930231
LAB-G2,Labeled,30ppb,Early,0.315,0.853333333,0.031428571,0.460971048,0.498288805
LAB-G3,Labeled,30ppb,Early,0.364,0.9875,0.031,0.492633333,0.499011315
LAB-GG1,Labeled,30ppb,Early,0.394,0.8875,0.033,0.49596867,0.406028806
LAB-GG2,Labeled,30ppb,Early,0.416666667,1.41,0.032857143,0.508023476,0.609529221
LAB-GG3,Labeled,30ppb,Early,0.252,0.545,0.034,0.400613713,0.385678354
UNLAB-B1,Unlabeled,30ppb,Early,0.47,1.16,0.013,0.717556667,0.451721295
UNLAB-BB1,Unlabeled,30ppb,Early,0.3525,0.8725,0.035,0.461940512,0.453156016
UNLAB-BR2,Unlabeled,30ppb,Early,0.235,0.416666667,0.029,0.418457937,0.286350514
UNLAB-BR3,Unlabeled,30ppb,Early,0.326,0.925,0.03,0.47714,0.521448178
UNLAB-BR4,Unlabeled,30ppb,Early,0.4725,0.726666667,0.032,0.538460369,0.21521506
UNLAB-BR5,Unlabeled,30ppb,Early,0.193333333,0.346666667,0.027,0.39371579,0.291973944
UNLAB-BR6,Unlabeled,30ppb,Early,0.3525,0.9725,0.033,0.473708612,0.507409727
UNLAB-BR7,Unlabeled,30ppb,Early,0.4325,1.4,0.032,0.520769285,0.587322595
UNLAB-BR8,Unlabeled,30ppb,Early,0.2675,0.506666667,0.031,0.431026472,0.319366879
0-BLACK,Control,0ppb,Late,0.4075,1.34,,,0.59519198
0-RG1,Control,0ppb,Late,0.41,0.67,,,0.245560276
0-RG2,Control,0ppb,Late,0.31,0.83,,,0.492426702
0-RG3,Control,0ppb,Late,0.338,1.2375,,,0.648901299
0-RG5,Control,0ppb,Late,0.15,0.47,,,0.5710487
0-RG6,Control,0ppb,Late,0.096666667,NA,,,NA
0-RG7,Control,0ppb,Late,0.24,0.486666667,,,0.353470251
LAB-G1,Labeled,30ppb,Late,0.096666667,0.266666667,,,0.507365402
LAB-G3,Labeled,30ppb,Late,0.128,0.2925,,,0.413217201
LAB-GG2,Labeled,30ppb,Late,0.158,0.3475,,,0.394084816
LAB-GG3,Labeled,30ppb,Late,0.06,0.025,,,NA
UNLAB-B2,Unlabeled,30ppb,Late,0.228,0.393333333,,,0.2726559
UNLAB-BB1,Unlabeled,30ppb,Late,0.144,0.2725,,,0.318912657
UNLAB-BR1,Unlabeled,30ppb,Late,NA,0.2075,,,NA
UNLAB-BR6,Unlabeled,30ppb,Late,0.1775,0.3425,,,0.328650524
UNLAB-BR2,Unlabeled,30ppb,Late,0.233333333,NA,,,NA
